Time [s];RF Mag [N];Sigma [MPa];RM2 [Nm];Tau [MPa];Actual angle [deg];Extension [-];Paper angle [deg];Paper Tau [MPa];Paper extension [-];Paper Sigma [MPa]
0;0;0;0;0;0;0;0;0;0;0
0.0001;135.067;0.932812445;-2.99479;0.931819334;0.00138646;1.29573E-05;0.219781333;124.2420963;0.001806469;117.8545037
0.0002;270.135;1.865631796;-5.98954;1.863626222;0.002772921;2.5915E-05;3.44E-01;1.40E+02;2.43E-03;1.33E+02
0.0003;405.203;2.798451146;-8.98426;2.795423776;0.004159381;3.88729E-05;6.24E-01;1.45E+02;3.30E-03;1.41E+02
0.0004;540.272;3.731277404;-11.9789;3.727196438;0.005545836;5.18312E-05;9.66E-01;1.48E+02;4.79E-03;1.46E+02
0.0005;675.34;4.664096755;-14.9736;4.658987768;0.006932274;6.47898E-05;1.62E+00;1.52E+02;6.78E-03;1.49E+02
0.0006;810.409;5.596923012;-17.9682;5.590747984;0.008318774;7.77489E-05;2.37E+00;1.56E+02;8.27E-03;1.50E+02
0.0007;945.479;6.529756175;-20.9628;6.5225082;0.009705218;9.0708E-05;3.21E+00;1.59E+02;9.89E-03;1.52E+02
0.0008;1080.55;7.462596245;-23.9573;7.454237302;0.011091661;0.000103667;4.26E+00;1.62E+02;1.19E-02;1.54E+02
0.0009;1215.62;8.395429409;-26.9518;8.385966403;0.012478161;0.000116627;5.57E+00;1.63E+02;1.32E-02;1.55E+02
0.001;1350.69;9.328262572;-29.9463;9.317695504;0.013864605;0.000129587;7.81E+00;1.65E+02;1.54E-02;1.57E+02
0.0011;1485.76;10.26109574;-32.9407;10.24939349;0.015251048;0.000142548;8.74E+00;1.64E+02;1.83E-02;1.59E+02
0.0012;1620.83;11.1939289;-35.9351;11.18109148;0.016637548;0.000155509;9.55E+00;1.63E+02;2.03E-02;1.60E+02
0.0013;1755.9;12.12676206;-38.9295;12.11278946;0.018023992;0.00016847;1.01E+01;1.61E+02;2.41E-02;1.61E+02
0.0014;1890.98;13.05966429;-41.9238;13.04445634;0.019410435;0.000181431;1.07E+01;1.57E+02;2.83E-02;1.62E+02
0.0015;2026.05;13.99249745;-44.9181;13.97612321;0.020796936;0.000194392;;;3.10E-02;1.63E+02
0.0016;2161.12;14.92533062;-47.9124;14.90779008;0.022183379;0.000207355;;;3.45E-02;1.62E+02
0.0017;2296.2;15.85823284;-50.9066;15.83942584;0.023569879;0.000220317;;;3.80E-02;1.64E+02
0.0018;2431.27;16.79106601;-53.9008;16.7710616;0.024956323;0.000233279;;;3.95E-02;1.64E+02
0.0019;2566.34;17.72389917;-56.8949;17.70266624;0.026342766;0.000246242;;;4.11E-02;1.64E+02
0.002;2701.42;18.6568014;-59.8891;18.63430199;0.027729267;0.000259206;;;4.47E-02;1.63E+02
0.0021;2836.49;19.58963456;-62.8831;19.56587552;0.02911571;0.000272169;;;4.64E-02;1.62E+02
0.0022;2971.57;20.52253679;-65.8772;20.49748017;0.030502153;0.000285133;;;4.91E-02;1.61E+02
0.0023;3106.64;21.45536995;-68.8712;21.42905369;0.031888654;0.000298097;;;5.15E-02;1.55E+02
0.0024;3241.72;22.38827218;-71.8652;22.36062722;0.033275097;0.000311062;;;;
0.0025;3376.8;23.3211744;-74.8591;23.29216963;0.034661597;0.000324027;;;;
0.0026;3511.87;24.25400757;-77.853;24.22371205;0.036048041;0.000336991;;;;
0.0027;3646.95;25.18690979;-80.8469;25.15525446;0.037434541;0.000349957;;;;
0.0028;3782.03;26.11981202;-83.8407;26.08676576;0.038820985;0.000362923;;;;
0.0029;3917.1;27.05264518;-86.8345;27.01827706;0.040207428;0.000375889;;;;
0.003;4052.18;27.98554741;-89.8283;27.94978836;0.041593928;0.000388855;;;;
0.0031;4187.26;28.91844963;-92.822;28.88126854;0.042980372;0.000401822;;;;
0.0032;4322.34;29.85135186;-95.8157;29.81274872;0.044366872;0.000414789;;;;
0.0033;4457.42;30.78425409;-98.8094;30.74422891;0.045753316;0.000427756;;;;
